college_code,college_name,major_group_code,subject_requirement,min_score,source_image,status,estimated_cumulative_rank_from_score_distribution,rank_source,rank_status
3378,武昌理工学院,500,选考化学,469,,visual_ocr_needs_spotcheck,95545,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3379,武昌首义学院,500,选考化学,474,,visual_ocr_needs_spotcheck,91278,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3379,武昌首义学院,999,不限选考科目,472,,visual_ocr_needs_spotcheck,92964,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3380,武汉城市学院,500,选考化学,470,,visual_ocr_needs_spotcheck,94712,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3380,武汉城市学院,999,不限选考科目,471,,visual_ocr_needs_spotcheck,93819,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3381,武汉传媒学院,999,不限选考科目,474,,visual_ocr_needs_spotcheck,91278,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3382,武汉大学,500,选考化学,654,,visual_ocr_needs_spotcheck,1453,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3382,武汉大学,999,不限选考科目,648,,visual_ocr_needs_spotcheck,2036,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3384,武汉大学(医学护理类),500,选考化学,589,,visual_ocr_needs_spotcheck,16625,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3385,武汉大学(中外合作),500,选考化学,606,,visual_ocr_needs_spotcheck,10843,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3386,武汉东湖学院,500,选考化学,468,,visual_ocr_needs_spotcheck,96446,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3386,武汉东湖学院,999,不限选考科目,465,,visual_ocr_needs_spotcheck,99057,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3387,武汉纺织大学,500,选考化学,538,,visual_ocr_needs_spotcheck,42366,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3388,武汉纺织大学外经贸学院,999,不限选考科目,465,,visual_ocr_needs_spotcheck,99057,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3389,武汉工程大学,500,选考化学,571,,visual_ocr_needs_spotcheck,24364,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3389,武汉工程大学,999,不限选考科目,535,,visual_ocr_needs_spotcheck,44290,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3390,武汉工程大学(中外合作),500,选考化学,534,,visual_ocr_needs_spotcheck,44918,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
